"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","MP","MPN1","Vendor1","Jabil_Link1"
"A1","1","Arduino_UNO_R3_edgecuts","DNP","","","Module:Arduino_UNO_R3_edgecuts_withoutcourtyard_notabs_nosilkscreern","https://www.arduino.cc/en/Main/arduinoBoardUno","","","",""
"C1,C3,C6","3","47u","","","","Capacitor_SMD:C_1210_3225Metric_Pad1.33x2.70mm_HandSolder","~","CGA1210X5R476M250RT","CGA1210X5R476M250RT","HRE","https://jlcpcb.com/partdetail/HRE-CGA1210X5R476M250RT/C6120020"
"C2,C4,C5","3","0.1u","","","","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","~","","CGA0603X7R104K250JT","HRE","https://jlcpcb.com/partdetail/HRE-CGA0603X7R104K250JT/C6119861"
"J1,J2,J3","3","TBL002A-350-03GR-2OR","DNP","","","TBL002A-350-03GR-2OR:CUI_TBL002A-350-03GR-2OR","","","","",""
"R1","1","200 m","","","","Resistor_SMD:R_0603_1608Metric_Pad0.98x0.95mm_HandSolder","~","0603WAF220LT5E","0603WAF220LT5E","UNI-ROYAL(Uniroyal Elec)","https://jlcpcb.com/partdetail/21398-0603WAF220LT5E/C20686"
"R2,R3,R4","3","4K7","","","","1206W4F4701T5E:RESC3115X65N","","1206W4F4701T5E","1206W4F4701T5E","UNI-ROYAL(Uniroyal Elec)","https://jlcpcb.com/partdetail/18624-1206W4F4701T5E/C17936"
"R5,R6","2","0R","","","","1206W4F0000T5E:RESC3115X65N","","1206W4F0000T5E","1206W4F0000T5E","UNI-ROYAL(Uniroyal Elec)","https://jlcpcb.com/partdetail/18576-1206W4F0000T5E/C17888"
"U1","1","DRV8870DDA","","","","Package_SO:Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias","http://www.ti.com/lit/ds/symlink/drv8870.pdf","","DRV8870DDAR","Texas Instruments","https://jlcpcb.com/partdetail/TexasInstruments-DRV8870DDAR/C86590"
"U2","1","L9110S","","","","L9110S:SOIC127P599X172-8N","","L9110S","L9110S","UMW(Youtai Semiconductor Co., Ltd.)","https://jlcpcb.com/partdetail/772196-L9110S/C725793"
"U3","1","TMP144YFFR","","","","TMP144YFFR:YFF0004AAAJ","https://www.ti.com/lit/gpn/tmp144","","TMP144YFFR","Texas Instruments","https://jlcpcb.com/partdetail/TexasInstruments-TMP144YFFR/C2870240"
"U4","1","TMP75AIDR","","","","TMP75AIDR:D8","https://www.ti.com/lit/gpn/tmp75","","TMP75AIDR","Texas Instruments","https://jlcpcb.com/partdetail/TexasInstruments-TMP75AIDR/C30389"
